sourceId,sourceName,sourceImage,sourcePriceAmount,finalProductName,category,currency,regularPrice,salePrice,size,quantity,colour,materialFabric,description,exactItemsIncluded,productImageApproved,additionalImages,sku,publish
product-1,Product 1,files/new images-2/Final Product/Product 1.png,25.00,,,,,,,1,,,,,,,,
product-2,Product 2,files/new images-2/Final Product/Product 2.png,25.00,,,,,,,1,,,,,,,,
product-3,Product 3,files/new images-2/Final Product/Product 3.png,25.00,,,,,,,1,,,,,,,,
product-4,Product 4,files/new images-2/Final Product/Product 4.png,30.00,,,,,,,1,,,,,,,,
product-5,Product 5,files/new images-2/Final Product/Product 5.png,30.00,,,,,,,1,,,,,,,,
product-6,Product 6,files/new images-2/Final Product/Product 6.png,35.00,,,,,,,1,,,,,,,,
product-7,Product 7,files/new images-2/Final Product/Product 7.png,35.00,,,,,,,1,,,,,,,,
product-8,Product 8,files/new images-2/Final Product/Product 8.png,35.00,,,,,,,1,,,,,,,,
product-9,Product 9,files/new images-2/Final Product/Product 9.png,35.00,,,,,,,1,,,,,,,,
product-10,Product 10,files/new images-2/Final Product/Product 10.png,35.00,,,,,,,1,,,,,,,,
product-11,Product 11,files/new images-2/Final Product/Product 11.png,35.00,,,,,,,1,,,,,,,,
product-12,Product 12,files/new images-2/Final Product/Product 12.png,35.00,,,,,,,1,,,,,,,,
product-13,Product 13,files/new images-2/Final Product/Product 13.png,20.00,,,,,,,1,,,,,,,,
product-14,Product 14,files/new images-2/Final Product/Product 14.png,20.00,,,,,,,1,,,,,,,,
product-15,Product 15,files/new images-2/Final Product/Product 15.png,20.00,,,,,,,1,,,,,,,,
product-16,Product 16,files/new images-2/Final Product/Product 16.png,20.00,,,,,,,1,,,,,,,,
product-17,Product 17,files/new images-2/Final Product/Product 17.png,20.00,,,,,,,1,,,,,,,,
product-18,Product 18,files/new images-2/Final Product/Product 18.png,20.00,,,,,,,1,,,,,,,,
product-19,Product 19,files/new images-2/Final Product/Product 19.png,20.00,,,,,,,1,,,,,,,,
product-20,Product 20,files/new images-2/Final Product/Product 20.png,20.00,,,,,,,1,,,,,,,,
product-21,Product 21,files/new images-2/Final Product/Product 21.png,20.00,,,,,,,1,,,,,,,,
product-22,Product 22,files/new images-2/Final Product/Product 22.png,20.00,,,,,,,1,,,,,,,,
product-23,Product 23,files/new images-2/Final Product/Product 23.png,20.00,,,,,,,1,,,,,,,,
product-24,Product 24,files/new images-2/Final Product/Product 24.png,20.00,,,,,,,1,,,,,,,,
product-25,Product 25,files/new images-2/Final Product/Product 25.png,20.00,,,,,,,1,,,,,,,,
product-26,Product 26,files/new images-2/Final Product/Product 26.png,20.00,,,,,,,1,,,,,,,,
product-27,Product 27,files/new images-2/Final Product/Product 27.png,20.00,,,,,,,1,,,,,,,,
