Product Picture,Product Name ,Size,Price ,Deal ,Quantity,Commets
,Product 1,, $25.00 ,Opening Dis,1,No bottoms 
,Product 2,, $25.00 ,,1,No bottoms 
,Product  3,, $25.00 ,,1,No bottoms 
,Product  4,, $30.00 ,,1,Full set
,Product  5,, $30.00 ,,1,Full set
,Product  6,, $35.00 ,,1,Full Set
,Product  7,, $35.00 ,,1,Full Set
,Product  8,, $35.00 ,,1,Full set
,Product  9,, $35.00 ,,1,Full Set
,Product  10,, $35.00 ,,1,Full set
,Product  11,, $35.00 ,,1,Full set
,Product 12,, $35.00 ,,1,Full set
,Product 13,, $20.00 ,,1,No bottoms 
,Product 14,, $20.00 ,,1,No bottoms 
,Product 15,, $20.00 ,,1,No bottoms 
,Product 16,, $20.00 ,,1,No bottoms 
,Product 17,, $20.00 ,,1,No bottoms 
,Product 18,, $20.00 ,,1,No bottoms 
,Product 19,, $20.00 ,,1,No bottoms 
,Product 20,, $20.00 ,,1,No bottoms 
,Product 21,, $20.00 ,,1,No bottoms 
,Product 22,, $20.00 ,,1,No bottoms 
,Product 23,, $20.00 ,,1,No bottoms 
,Product 24,, $20.00 ,,1,No bottoms 
,Product 25,, $20.00 ,,1,No bottoms 
,Product 26,, $20.00 ,,1,No bottoms 
,Product 27,, $20.00 ,,1,No bottoms 
